COMPANY_NAME,COMPANY_ADDRESS,CONTACT_NUMBER,CONTACT_PERSON,FUEL_TYPE,OWNERSHIP,STATUS,COAL_SUITABILITY,PKS_SUITABILITY,REMARKS,HUBSPOT_CONTACT_ID
Cabanatuan City Solar Power Farm,"Cabanatuan City, Nueva Ecija",,,Solar,Various,,,,,,
Calabanga Solar Power Project,"Calabanga, Camarines Sur",,,Solar,Various,,,,,,
Calatagan Solar Power Plant,"Calatagan, Batangas",,,Solar,Various,,,,,,
Camotes Diesel Power Plant,"Camotes Island, Cebu",,,Diesel,Camotes Energy,,,,,,
Century Peak Hydro Powerplant,Negros Occidental,,,Hydro,Century Peak,,,,,,
Concepcion BESS,"Concepcion, Tarlac",,,Battery Storage,VISayas Grid,,,,,,
Davao Light,Davao City,,,Distribution/Retail,AboitizPower,,,,,,
Delta P Power Plant,Ilocos Norte,,,Diesel/Gas,Delta P Corp,,,,,,
Dinagat Diesel Power Plant,Dinagat Island,,,Diesel,NPC,,,,,,
Doong NPC Diesel Plant,"Doong,Enumerator, Lanao del Norte",,,Diesel,NPC,,,,,,
First Catanduanes Electric Cooperative (FICELCO),Catanduanes,,,Diesel/Coop,FICELCO,,,,,,
GigaSol Power Plant,Luzon,,,Solar,GigaSol,,,,,,
Iloilo Solar Power Plant,Iloilo City,,,Solar,Various,,,,,,
Kibawe Solar Power Plant,"Kibawe,Enumerator,Enumerator, Bukidnon",,,Solar,Various,,,,,,
Lal-lo Solar Power Plant Project,"Lal-lo,Enumerator,Enumerator,Enumerator, Cagayan",,,Solar,Various,,,,,,
Likud MiniHydro PowerPlant,"Likud,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Mindanao",,,Hydro,Various,,,,,,
MPC Iligan DPP,"Iligan City, Lanao del Norte",,,Diesel,Misamis Power Corp,,,,,,
MVC Hydroelectric Plant 2,Mindanao,,,Hydro,MVC,,,,,,
Magellan Cogeneration,Bataan,,,Gas/Co-gen,Magellan,,,,,,
Meralco Santa Rosa,"Santa Rosa, Laguna",,,Distribution/Retail,MERALco,,,,,,
Mexico Battery Energy Storage System,"Mexico, Pampanga",,,BESS,Visayas Grid,,,,,,
Minergy,Philippines,,,Biomass,Minergy Corp,,,,,,
NAPOCOR Puerto Princesa Power Plant,"Puerto Princesa, Palawan",,,Diesel,NPC,,,,,,
NPC Diesel Power Plant,Various Enumerators,,,Diesel,NPC,,,,,,
NPC Power Plant,Various Enumerators,,,Various,NPC,,,,,,
Naga Power Complex,"Naga,Enumerator,Enumerator,Enumerator,Enumerator, Camarines Sur",,,Diesel/Gas,NPC/TEAM Energy,,,,,,
National Power Corporation,Various,,,Various,NPC,,,,,,
Navotas Power Plant,"Navotas,Enumerator,Enumerator, Metro Manila",,,Diesel,MERALco,,,,,,
Old Gandara Blackstone Diesel Street Electricity,"Old Gandara,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Panay",,,Diesel,Various,,,,,,
PRYCE GAS Plant,CDO / Butuan,,,Diesel/Gas,PRYCE,,,,,,
Panay Diesel Power Plant 3 (PDPP3),"Panay Island,Enumerator, Iloilo",,,Diesel,Panay Diesel / Meralco,,,,,,
Panay Power Bunker Fuel Power Station,Iloilo City,,,Diesel,Panay Power,,,,,,
Peakpower San Francisco,"San Francisco,Enumerator,Enumerator,Enumerator,Enumerator, Camotes, Cebu",,,Diesel,Peakpower,,,,,,
Polillo Power Plant,"Polillo,Enumerator,Enumerator,Enumerator,Enumerator, Quezon",,,Diesel,NPC,,,,,,
Power Plant,Various,,,Various,Various,,,,,,
RASLAG IV Solar Power Project,"Mexico, Pampanga",,,Solar,RASLAG / AC Energy,,,,,,
ROMELCO Power Station,Romblon,,,Diesel/Coop,ROMELCO,,,,,,
S.I. Power Corporation,Philippines,,,Various,S.I. Power,,,,,,
SPARC Solar-Power Agri-Rural Community,Sultan Kudarat,,,Solar,SPARC,,,,,,
SURSECO II,Sultan Kudarat,,,Diesel/Coop,SURSECO II,,,,,,
Sabang Renewable Energy Corporation,"Sabang,Enumerator,Enumerator,Enumerator, Mindanao",,,Solar,Sabang REC,,,,,,
Samal Solar Power,"Samal,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Davao del Norte",,,Solar,Various,,,,,,
San Jose Diesel Power Plant,"San Jose,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Mindanao",,,Diesel,NPC,,,,,,
SanMar Solar,Mindanao,,,Solar,Various,,,,,,
Sinocalan Solar Power Plant,"Sinocalan,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Panay",,,Solar,Various,,,,,,
Taft Hydro Energy,"Taft,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator,Enumerator, Panay",,,Hydro,TEAM Energy,,,,,,
Talikud Diesel Power Plant,"Talikud,Enumerator,Enumerator,Enumerator, Mindanao",,,Diesel,NPC,,,,,,
Tarlac Solar Power Project-2,Tarlac,,,Solar,SMC Global Power,,,,,,
Villanueva Solar Power Plant,"Villanueva,Enumerator, Misamis Oriental",,,Solar,Various,,,,,,
